product_id,garment_type,occasion,fabric,color,pattern,sleeve_length,embellishment,price_range,brand,price,currency,title
p000,abaya,everyday,linen,grey,geometric,3/4,embroidery,premium,Royal Abaya,638.96,SAR,Grey Geometric Abaya
p001,thobe,formal,polyester,beige,geometric,short,sequins,luxury,Elegance,866.85,SAR,Beige Geometric Thobe
p002,abaya,formal,chiffon,black,striped,long,buttons,luxury,AlNoor,1196.11,SAR,Black Striped Abaya
p003,thobe,religious,chiffon,cream,striped,short,sequins,budget,Royal Abaya,142.97,SAR,Cream Striped Thobe
p004,abaya,everyday,silk,black,printed,3/4,beading,luxury,AlNoor,957.12,SAR,Black Printed Abaya
p005,thobe,formal,linen,white,striped,long,lace,premium,Modesty,403.98,SAR,White Striped Thobe
p006,abaya,everyday,silk,dark_brown,striped,short,none,mid_range,Classic Thobe,336.85,SAR,Dark_Brown Striped Abaya
p007,thobe,religious,chiffon,cream,embroidered,long,lace,mid_range,Elegance,332.5,SAR,Cream Embroidered Thobe
p008,abaya,casual,chiffon,dark_brown,striped,sleeveless,beading,luxury,Modesty,1169.75,SAR,Dark_Brown Striped Abaya
p009,thobe,religious,polyester,cream,plain,sleeveless,beading,mid_range,AlNoor,307.94,SAR,Cream Plain Thobe
p010,abaya,casual,cotton,black,plain,sleeveless,embroidery,budget,Royal Abaya,176.26,SAR,Black Plain Abaya
p011,thobe,wedding,crepe,beige,plain,short,lace,budget,AlNoor,165.36,SAR,Beige Plain Thobe
p012,abaya,casual,chiffon,dark_brown,embroidered,sleeveless,beading,luxury,Royal Abaya,1131.55,SAR,Dark_Brown Embroidered Abaya
p013,thobe,casual,silk,beige,printed,long,sequins,luxury,Royal Abaya,1018.78,SAR,Beige Printed Thobe
p014,abaya,formal,linen,grey,plain,sleeveless,beading,budget,Royal Abaya,166.61,SAR,Grey Plain Abaya
p015,thobe,everyday,polyester,white,striped,short,beading,premium,AlFarasha,668.73,SAR,White Striped Thobe
p016,abaya,religious,crepe,grey,geometric,sleeveless,embroidery,premium,Royal Abaya,523.11,SAR,Grey Geometric Abaya
p017,thobe,casual,crepe,cream,geometric,short,buttons,mid_range,Classic Thobe,376.09,SAR,Cream Geometric Thobe
p018,abaya,religious,cotton,grey,embroidered,3/4,sequins,luxury,AlNoor,793.29,SAR,Grey Embroidered Abaya
p019,thobe,everyday,cotton,white,striped,3/4,sequins,budget,Royal Abaya,107.35,SAR,White Striped Thobe
p020,abaya,formal,polyester,black,printed,sleeveless,embroidery,budget,Gulf Style,138.18,SAR,Black Printed Abaya
p021,thobe,casual,chiffon,white,striped,long,lace,luxury,Classic Thobe,959.4,SAR,White Striped Thobe
